NOME;DN;ORIGEM;OM CONDUZ IAFN;BANDEIRA;AB;COMPRIMENTO (M);DATA/HORA;HORA REAL;DATA;DATA-HORA;TIPO;NAVEGAÇÃO;ATIVIDADE;PROPULSÃO;DESCRIÇÃO DA NATUREZA;LONG DEC;LAT DEC;LOCAL;VF;FER.;DES.;N:DE INSCRIÇÃO;MATERIAL DO CASCO;ANTEPARA ALAGAMENTO
DIAMANTINA JM;3;CPFTZA;AGOCIM;BRASIL;31;15,21;31/MAR/2019  06:00;3:00;31/MAR/2019;310600P/MAR/2019;BARCO;CABOTAGEM;PESCA;MOTOR;DESAPARECIMENTO DE PESSOA;-1,40694444;-43,58555556;LAT 01:23,85’ S e LONG 043:34,68’ W, cerca de 60 MN da Ilha de Santana (Maranhão);0;0;1;1630041017;MADEIRA;
LUAN VI;1;CPVITO;CPVITO;BRASIL;40;17,43;03/ABR/2019  08:30;5:30;03/ABR/2019;030830P/ABR/2019;BARCO;CABOTAGEM;PESCA;MOTOR;DERIVA DA EMBARCAÇÃO;-21,75222222;-40,86916667;Na posição LAT 21:45,8’S e LONG 040:52,9’W, São João da Barra - RJ;0;0;0;3410389121;MADEIRA;POSSUI
OPEN SEA - SITIO DA PRAINHA;3;CPCIFE;CPCIFE;BRASIL;MIÚDA;3,22;03/ABR/2018  13:20;10:20;03/ABR/2018;031320P/ABR/2018;MOTO AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;;;RIO FORMOSO - 80 METROS DA MARGEM DIREITA DO RIO EM FRENTE AO RESTAURANTE SÍTIO DA PRAINHA, PRAIA DOS CARNEIROS, TAMANDARÉ-PE;0;2;0;221M2011002294;FIBRA;
GUERREIRO DO MAR I;3;CPCIFE;CPCIFE;BRASIL;3,0;9,0;29/MAR/2019  12:00;9:00;29/MAR/2019;291200P/MAR/2019;BOTE;INTERIOR;PASSAGEIRO;MOTOR;NAUFRÁGIO;;;PORTO DE SUAPE, CAIS CMU, IPOJUCA-PE;0;0;0;2210142903;MADEIRA;NÃO POSSUI
SEM NOME;5;DLSFSL;DLSFSL;BRASIL;NÃO INSCRITA;3,69;06/ABR/2019  16:00;16:00;06/ABR/2019;061600Z/ABR/2019;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;EMBORCAMENTO;;;Rio Negro, nas proximidades do Areal Tingui, Município de Mafra, SC;2;0;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI
GAROUPA 1;1;DLMCAE;DLMCAE;BRASIL;NÃO INSCRITA;0;30/MAR/2019  11:15;8:15;30/MAR/2019;301115P/MAR/2019;PLATAFORMA;CABOTAGEM;OUTRA ATIVIDADE OU SERVIÇO;SEM PROPULSÃO;QUEDA DE CARGA E/OU EQUIPAMENTO N’ÁGUA;-22,37416667;-40,41694444;Campo Garoupa na Bacia de Campos – Campos dos Goytacazes – RJ, coordenada geográfica Latitude 22:22’27,340”S e Longitude 040:25’01,415”W;0;0;0;NÃO INSCRITA;AÇO;
COWBOY DO MAR;1;CPRIOJ;CPRIOJ;BRASIL;MIÚDA;4,9;06/ABR/2019  07:00;4:00;06/ABR/2019;060700P/ABR/2019;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;COLISÃO;;;RAIA DE ITAIPU, NITEROI-RJ;0;1;0;381M2018005003;ALUMÍNIO;
PETROBRAS XXXIII;1;CPMCAE;CPMCAE;PANAMÁ;133,707;321,35;06/ABR/2019  16:45;13:45;06/ABR/2019;061645P/ABR/2019;PLATAFORMA;CABOTAGEM;OUTRA ATIVIDADE OU SERVIÇO;SEM PROPULSÃO;ACIDENTES COM PESSOAS EM GERAL ABORDO;-22,37166667;-40,02472222;"RJ, coordenada geográfica Latitude 22:22' 18.464""S e Longitude 040:01'29.933""W";0;1;0;387E000909;AÇO;
JOAQUIM - MARGLEISSON III - VALENTE DE DEUS III;9;CPNAUS;CPNAUS;BRASIL;28;15,7;18/JAN/2019  20:00;16:00;18/JAN/2019;182000Q/JAN/2019';EMPURRADOR COM BALSA (COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;ABALROAMENTO;;;"RIO AMAZONAS, PROXIMIDADES DO PORTO SÃO RAIMUNDO, MANAUS-AM;";0;0;0;50.073.290;MADEIRA;NÃO POSSUI
SAN MARINO II;9;CPNAUS;AGTINS;BRASIL;595;50,3;16/MAR/2019  04:00;0:00;16/MAR/2019;160400Q/MAR/2019;FERRY BOAT;INTERIOR;PASSAGEIRO E CARGA;MOTOR;ENCALHE;-2,51888889;-57,08972222;"RIO AMAZONAS,EM FRENTE À ILHA DO ARIRI PEQUENO, MUNICÍPIO DE PARINTINS-AM, LATITUDE 02° 31' 826"" S LONGITUDE 057° 05' 233"" W;";0;0;0;230.913.326;AÇO;
SANTA RITA XXXIII - PRATICAGEM XXI;8;CPSANT;CPSANT;BRASIL;3,6;10,13;03/ABR/2019  21:00;18:00;03/ABR/2019;032100P/ABR/2019;CHATA;INTERIOR;PASSAGEIRO E CARGA;MOTOR;ABALROAMENTO;-23,94000000;-46,31194444;"ESTUÁRIO DE SANTOS - NAS PROXIMIDADES DO ARMAZÉM XV NA MARCAÇÃO LAT - 23:56'24""S e LONG 46:18'43""W";0;0;0;4010193581;MADEIRA;
FALCON I;8;CPSANT;CPSANT;BRASIL;51,9;21,94;30/ABR/2019  12:00;9:00;30/ABR/2019;301200P/ABR/2019;BARCO;CABOTAGEM;PESCA;MOTOR;NAUFRÁGIO;;;NA COOPERATIVA DA EMPRESA TRIMAR EM GUARUJÁ-SP;0;0;0;4010745827;AÇO;
SOL;3;CPCIFE;CPCIFE;BRASIL;9,0;11,22;05/ABR/2019  19:00;16:00;05/ABR/2019;051900P/ABR/2019;LANCHA;INTERIOR;ESPORTE E RECREIO;A SER APURADO;INCÊNDIO;-8,62388889;-35,04722222;"Latitude 08:37'26""S longitude 035:02'52""W - 0,3 milha da Praia da Barra de Sirinhaém, Sirinhaém-PE";0;0;0;2210169216;FIBRA;
TÔ ATOA;9;CFPVEL;CFPVEL;BRASIL;179;30,35;05/ABR/2019  15:00;11:00;05/ABR/2019;051500Q/ABR/2019;FERRY BOAT;INTERIOR;OUTRA ATIVIDADE OU SERVIÇO;SEM PROPULSÃO;NAUFRÁGIO;;;RIO MADEIRA, DISTRITO DE JACI PARANÁ, PORTO VELHO-RO;0;0;0;31153577;MADEIRA;NÃO POSSUI
SEM NOME;9;CPNAUS;AGTINS;BRASIL;NÃO INSCRITA;6,0;24/MAR/2019  14:00;10:00;24/MAR/2019;241400Q/MAR/2019;CANOA;INTERIOR;SEM ATIVIDADE DEFINIDA;REMO;NAUFRÁGIO;;;PARANÁ DO ADUACÁ, EM FRENTE A COMUNIDADE DO CUTIPANÃ, MUNICÍPIO DE NHAMUNDÃ-AM;1;0;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI
JESUS NAS ÁGUAS;8;DLTIAO;DLTIAO;BRASIL;1,4;9,4;A SER APURADO;A SER APURADO;A SER APURADO;A SER APURADO;BOTE;INTERIOR;PESCA;MOTOR;NAUFRÁGIO;;;IMEDIAÇÕES DO SACO DO INDAIÁ – ILHABELA / SP;0;0;0;4430043990;MADEIRA;NÃO POSSUI
SEM NOME;8;DLGUAI;DLGUAI;BRASIL;NÃO INSCRITA;6,3;09/ABR/2019  06:30;3:30;09/ABR/2019;090630P/ABR/2019;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;;;RIO IVAÍ - QUERÊNCIA DO NORTE-PR;1;1;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI
BALTIC COVE;1;CPRIOJ;CPRIOJ;LIBÉRIA;23,456;180,;15/ABR/2019  04:40;1:40;15/ABR/2019;150440P/ABR/2019;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;PRESENÇADE CLANDESTINO A BORDO;;;ARMAZÉM 08/09, PORTO DO RIO DE JANEIRO, RIO DE JANEIRO-RJ;0;0;0;SOLAS - IMO 9450727;AÇO;
HC LARA;1;CPVITO;CPVITO;ANTIGUA E BARBUDA;6,577;129,4;10/ABR/2019  10:09;7:09;10/ABR/2019;101009P/ABR/2019;NM DE CARGA GERAL;LONGO-CURSO;CARGA;MOTOR;SEM CÓDIGO DE NATUREZA DO ACIDENTE;;;Atracado no Cais da TVV, Vila Velha - ES;0;0;0;SOLAS - IMO 9415064;AÇO;
MIKE-UNO;1;DLANGR;DLANGR;BRASIL;1,0;14,72;11/ABR/2019  03:40;0:40;11/ABR/2019;110340P/ABR/2019;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;INCÊNDIO;;;PROXIMIDADE DA ILHA DE SABACÚ, BAÍA DA RIBEIRA, ANGRA DOS REIS-RJ;0;0;0;4410455311;FIBRA;
NALS VII;4;CFAREM;CFAREM;BRASIL;1,895;96,0;18/MAR/2019  23:50;20:50;18/MAR/2019;182350P/MAR/2019;BALSA;INTERIOR;CARGA;SEM PROPULSÃO;COLISÃO;;;rminal CARGILL Agrícola S/A, Rio Tapajós, Município de Santarém;0;0;0;211023892;AÇO;
LADY GIOVI;4;CFAREM;CFAREM;PANAMÁ;43,408;221,5;02/ABR/2019  08:02;5:02;02/ABR/2019;020802P/ABR/2019;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;COLISÃO;;;Rio Tapajos, Município de Santarém;0;0;0;SOLAS-IMO 9389227;AÇO;
SEM NOME;8;CPFTPR;CPFTPR;BRASIL;NÃO INSCRITA;5,;14/ABR/2019  14:30;11:30;14/ABR/2019;141430P/ABR/2019;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;EMBORCAMENTO;-18,99472222;-48,01944444;"Rio Araguari, Represa do Miranda, município de Uberlândia-MG, na posição estimada Lat 18°59'41.1""S e Long 048°01'10.7""W";1;0;0;NÃO INSCRITA;ALUMÍNIO;
A SER APURADO - A SER APURADO;9;CPNAUS;AGHMTA;BRASIL;A SER APURADO;15,0;28/MAR/2019  07:30;3:30;28/MAR/2019;280730Q/MAR/2019;BARCO;INTERIOR;A SER APURADO;MOTOR;EXPLOSÃO;-5,11333333;-60,37500000;"MARGEM DIREITA DO RIO MADEIRA, PROXIMIDADES DO PORTO IP-4, NOVO  ARIPUANÃ-AM, LAT 05° 06' 48""S LONG 060° 22' 30""";0;2;0;NÃO INSCRITA;MADEIRA;A SER APURADO
ODYSSEY IX;5;DLSFSL;DLSFSL;BRASIL;11,60;10,6;13/ABR/2019  14:20;14:20;13/ABR/2019;131420Z/ABR/2019;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;ÁGUA ABERTA;-2,10222222;-48,40555556;Em mar aberto, a uma distância de cerca de 6MN ao Norte do Farol Ilha da Paz, na posição de Lat. 26:06,8' S e Long. 048:24,20' W, litoral do Município de São Francisco do Sul, SC;0;0;0;4030193641;FIBRA;
AMBIPAR 34;2;CPCAJU;CPCAJU;BRASIL;1;6,0;11/ABR/2019  17:00;14:00;11/ABR/2019;111700P/ABR/2019;LANCHA;INTERIOR;OUTRA ATIVIDADE OU SERVIÇO;MOTOR;NAUFRÁGIO;;;LITORAL SERGIPANO;0;0;0;NÃO INSCRITA;ALUMÍNIO;
SEM NOME;4;CFAREM;CFAREM;BRASIL;NÃO INSCRITA;4,0;13/ABR/2019  16:30;13:30;13/ABR/2019;131630P/ABR/2019;CANOA;INTERIOR;PASSAGEIRO;REMO;QUEDA DE PESSOAS NA ÁGUA;;;Rio Arapius,comunidade São Francisco do Araguari, município Santarém- PA;1;0;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI
MORUBIXABA;4;CPSTNA;CPSTNA;BRASIL;88,70;30,0;03/ABR/2019  03:45;0:45;03/ABR/2019;030345P/ABR/2019;ROLL-ON/ ROLL-OFF;CABOTAGEM;PASSAGEIRO E CARGA;MOTOR;ACIDENTES COM PESSOAS EM GERAL ABORDO;;;NAS PROXIMIDADES DA BOCA DO RIO DA COMUNIDADE DE CUNANI, NO MUNICÍPIO DE CALÇOENE - AP;1;0;0;022-00014-;AÇO;
SALOMÉ II;4;CPPARN;CPPARN;BRASIL;7,33;9,9;12/ABR/2019  19:00;16:00;12/ABR/2019;121900P/ABR/2019;VELEIRO;CABOTAGEM;ESPORTE E RECREIO;MISTA;AVARIA DE GOVERNO;-2,72722222;-43,33472222;"PROXIMIDADES DE TUTÓIA-MA, LAT 02:43'38""S E LONG 043:20'050W";0;0;0;1210138719;FIBRA;
LOG-IN JATOBÁ;8;CPAGUA;CPAGUA;BRASIL;28,554;218,45;05/ABR/2019  12:00;9:00;05/ABR/2019;051200P/ABR/2019;NM PORTA CONTENTOR;LONGO-CURSO;CARGA;MOTOR;COLISÃO;;;Baía de Paranaguá/PR;0;0;0;SOLAS-IMO 9471898;AÇO;
LAGEMANN II - THE WALL;8;CPFOZU;CPFOZU;BRASIL;MIÚDA;5,0;20/ABR/2019  12:00;9:00;20/ABR/2019;201200P/ABR/2019;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;ABALROAMENTO;;;Salto Caxias/Boa Vista da Aparecida-PR;1;1;0;961M2004000376;FIBRA;
COSCO SHIPPING VOGA;8;CPSANT;CPSANT;HONG KONG;94,623;299,9;11/ABR/2019  23:48;20:48;11/ABR/2019;112348P/ABR/2019;NM PORTA CONTENTOR;LONGO-CURSO;CARGA;MOTOR;RUPTURA DE CABOS;;;TERMINAL DO ARMAZÉM DA LIBRA 35.2 PORTO DE SANTOS;0;0;0;SOLAS-IMO 9731925;AÇO;
VEREMOS XII;1;DLCABO;DLCABO;BRASIL;23,40;13,61;24/ABR/2019  05:40;2:40;24/ABR/2019;240540P/ABR/2019;BOTE;CABOTAGEM;PESCA;MOTOR;QUEDA DE PESSOAS NA ÁGUA;-23,05000000;-41,76666667;15MN A SUDESTE DE CABO FRIO – RJ, NA POSIÇÃO LATITUDE 23°03'S /  LONGITUDE 041°46'W;0;0;1;3410235728;MADEIRA;NÃO POSSUI
DELICIA V;1;DLANGR;DLANGR;BRASIL;41;17,7;19/ABR/2019  22:40;19:40;19/ABR/2019;192240P/ABR/2019;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;INCÊNDIO;;;PROXIMIDADE DAS ILHAS SUNDARA E PEQUENA ILHA, BAÍA DA RIBEIRA, ANGRA DOS REIS-RJ;0;0;0;4211500228;FIBRA;
FLINK IV;1;DLANGR;DLANGR;BRASIL;12;11,9;20/ABR/2019  21:50;18:50;20/ABR/2019;202150P/ABR/2019;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;ENCALHE;;;NA ILHA CATITA, BAIA DA RIBEIRA, ANGRA DOS REIS, RJ;0;0;0;3813890546;FIBRA;
CALYPSO;1;CPVITO;CPVITO;BRASIL;MIÚDA;2,5;18/ABR/2019  16:25;13:25;18/ABR/2019;181625P/ABR/2019;MOTO AQUÁTICA;INTERIOR;ESPORTE E RECREIO;MOTOR;DERIVA DA EMBARCAÇÃO;;;"Praia Secreta - Vila Velha, ES;";0;0;1;341M2004000078;FIBRA;
SEM NOME;1;CPRIOJ;CPRIOJ;A SER APURADO;NÃO INSCRITA;A SER APURADO;19/ABR/2019  17:30;14:30;19/ABR/2019;191730P/ABR/2019;BOTE;INTERIOR;SEM ATIVIDADE DEFINIDA;MOTOR;EMBORCAMENTO;;;Fundeadouro 6A, Baía da Guanabara-RJ;0;0;0;NÃO INSCRITA;ALUMÍNIO;
JR;3;CPSSOA;CPSSOA;BRASIL;0;4,9;19ABR/2019  10:00;10:00;19ABR/2019;191000/ABR/2019;JANGADA;INTERIOR;PASSAGEIRO;MOTOR;AVARIA DE MÁQUINAS;;;PRAIA DE TAMBAÚ - JOÃO PESSOA-PB;0;0;0;201M2015000474;FIBRA;
SEM NOME;6;CPUMBA;AGCACE;BRASIL;NÃO INSCRITA;1,0;16/ABR/2019  15:25;12:25;16/ABR/2019;161525P/ABR/2019;BOTE;INTERIOR;SEM ATIVIDADE DEFINIDA;MOTOR;MORTE DE PESSOA;-16,06000000;-57,69194444;"Rio Paraguai, próximo a praia do Daveron em Cáceres-MT Lat. 16°03'36.3""S Long.57°41'31.5""W";1;0;0;NÃO INSCRITA;MADEIRA;NÃO POSSUI
GRANDE SAN PAOLO;8;CPSANT;CPSANT;ITÁLIA;56,738;213,88;09/ABR/2019  01:11;22:11;09/ABR/2019;090111P/ABR/2019;ROLL-ON/ ROLL-OFF;LONGO-CURSO;CARGA;MOTOR;EXPOR A RISCO;;;TERMINAL DO VALONGO ARMAZÉM 10 DO PORTO DE SANTOS- SP;0;0;0;SOLAS-IMO 9253208;AÇO;
TOMAZ-I - TOMAZ-II;9;CPNAUS;AGNEPE;BRASIL;18;13,15;31/MAR/2019  20:00;16:00;31/MAR/2019;312000Q/MAR/2019;EMPURRADOR COM BALSA (COMBOIO);INTERIOR;REBOCADOR/EMPURRADOR;MOTOR;QUEDA DE PESSOAS NA ÁGUA;;;RIO SOLIMÕES, MANACAPURU-AM;1;0;0;60027760;AÇO;
SKANDI ACHIEVER;1;CPRIOJ;CPRIOJ;BRASIL;7,617;105,90;21/ABR/2019  18:00;15:00;21/ABR/2019;211800P/ABR/2019;OUTRAS EMBARCAÇÕES;APOIO MARITIMO;CARGA;MOTOR;MORTE DE PESSOA;-0,37777778;-40,22777778;Bacia de Campos na Latitude 22:40,16'S Longitude 040:13,47'W;1;0;0;381E006930;AÇO;
M.V KOTA LAZIM;8;CPSANT;CPSANT;SINGAPURA;39,906;261,84;20/ABR/2019  08:30;5:30;20/ABR/2019;200830P/ABR/2019;NM PORTA CONTENTOR;LONGO-CURSO;CARGA;MOTOR;QUEDA DE CARGA E/OU EQUIPAMENTO N’ÁGUA;;;"TECON 1 SANTOS-BRASIL MARGEM ESQUERDA DO PORTO DE SANTOS - SP;";0;0;0;SOLAS-IMO 9351050;AÇO;
LANCHAS E CIA I;1;DLANGR;DLANGR;BRASIL;3,12;7,8;22/ABR/2019  19:40;16:40;22/ABR/2019;221940P/ABR/2019;LANCHA;CABOTAGEM;PASSAGEIRO;MOTOR;AVARIA DE MÁQUINAS;-23,08333333;-44,31666667;NAS PROXIMIDADES DA ILHA DE EMBOACICA, BAÍA DA ILHA GRANDE, ANGRA DOS REIS, RJ. MARCAÇÃO APROXIMADA LAT 23°05'S LONG 044°19'S;0;0;0;3877050581;FIBRA;
TITANIC IX;2;CPSALV;CPSALV;BRASIL;217;29,86;19/ABR/2019  17:30;14:30;19/ABR/2019;191730P/ABR/2019;BARCAÇA;CABOTAGEM;CARGA;MOTOR;AVARIA DE MÁQUINAS;-12,19194444;-37,52611111;Nas coordenadas de Lat 12° 11' 31.5'' S e Long 37° 31' 34.3'' W, a cerca de 75 MN de Salvador-BA;0;0;0;4039133552;AÇO;
TRANSMAR CARGO;1;CPRIOJ;CPRIOJ;BRASIL;39;16,70;28/ABR/2019  20:50;17:50;28/ABR/2019;282050P/ABR/2019;BALSA;APOIO MARITIMO;CARGA;MOTOR;NAUFRÁGIO;-22,88583333;-43,13500000;Área de fundeio 2F1A, LAT 22:53,9’S - LONG 043:08,6’W, Baía de  Guanabara, Rio de Janeiro-RJ;0;0;0;3813906027;AÇO;
PANAFRICAN - ELPIS;9;CPNAUS;AGITAC;ILHAS MARSHAL;44,147;229,0;16/ABR/2019  17:06;13:06;16/ABR/2019;161706Q/ABR/2019;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;ABALROAMENTO;;;MARGEM DIREITA DO RIO AMAZONAS, ÁREA DE FUNDEIO, ITACOATIARA-AM, LAT;0;0;0;SOLAS-IMO 9350343;AÇO;
BANGOR;9;CPNAUS;AGITAC;NORUEGA;38,889;225,0;17/ABR/2019  11:10;7:10;17/ABR/2019;171110Q/ABR/2019;NM GRANELEIRO;LONGO-CURSO;CARGA;MOTOR;COLISÃO;;;"MARGEM ESQUERDA DO RIO AMAZONAS, NO QUADRO DE BOIAS MAQUIRA, MUNICÍPIO DE ITACOATIARA-AM;";0;0;0;SOLAS-IMO 9228057;AÇO;
SATURNO I;4;CPSTNA;CPSTNA;BRASIL;75;19,50;28/ABR/2019  20:29;17:29;28/ABR/2019;282029P/ABR/2019;BARCO;INTERIOR;PASSAGEIRO;MOTOR;ÁGUA ABERTA;-0,24083333;;Rio Amazonas, nas proximidades do Canal das Pedrinhas, Município de Macapá, Estado do Amapá, distante cerca de 7,5 milhas náuticas da sede desta Capitania, posição aproximada de LAT. 00:00’867”S e LONG. 051:03’738”W;0;0;0;022-07119-5;MADEIRA;A SER APURADO
TODOS DA PAZ;5;CPGRAN;CPGRAN;BRASIL;38;17,50;30/ABR/2019  18:00;15:00;30/ABR/2019;301800P/ABR/2019;BARCO;CABOTAGEM;PESCA;MOTOR;INCÊNDIO;;;PORTO VELHO -RG;0;0;0;4610075270;MADEIRA;NÃO POSSUI
DONA NAIR I;9;CPNAUS;CPNAUS;BRASIL;263;40,0;19/ABR/2019  00:00;20:00;19/ABR/2019;190000Q/ABR/2019;BALSA;INTERIOR;CARGA;MOTOR;IMPROPRIEDADE DA EMBARCAÇÃO PARA O FIM EM QUE É UTILIZADA;;;"PROXIMIDADES DO PORTO SÃO RAIMUNDO, RIO NEGRO, MANAUS-AM;";0;0;0;60024879;AÇO;
MINHA BINA -  ZORZO I;1;CFBELZ;CFBELZ;BRASIL;2;6,94;20/ABR/2019  14:00;11:00;20/ABR/2019;201400P/ABR/2019;LANCHA;INTERIOR;OUTRA ATIVIDADE OU SERVIÇO;MOTOR;ABALROAMENTO;;;A SER APURADO;0;2;0;4050235030;FIBRA;
NOSSA SENHORA DE FÁTIMA I;1;CPMCAE;CPMCAE;BRASIL;19;12,11;26/ABR/2019  13:00;10:00;26/ABR/2019;261300P/ABR/2019;BARCO;INTERIOR;PESCA;MOTOR;AVARIA DE MÁQUINAS;-22,33555556;-41,25111111;Bacia de Campos – Campos dos Goytacazes – RJ – coordenadas geográficas  e Latitude 22:20,8’S e Longitude 041:15,4'W;0;0;0;3410389857;MADEIRA;NÃO POSSUI
FAVO DE MEL;1;CPVITO;CPVITO;BRASIL;6,10;9,0;25/ABR/2019  11:00;8:00;25/ABR/2019;251100P/ABR/2019;BOTE;INTERIOR;PESCA;MOTOR;AVARIA DE MÁQUINAS;-20,06833333;-39,94500000;Na posição LAT 20:04,06'S e LONG 039:56,42'W, a cerca de 12MN do litoral de Santa Cruz, Aracruz – ES;0;0;0;3420045174;MADEIRA;A SER APURADO
DINASTIA II;1;DLANGR;DLANGR;BRASIL;3,9;8,75;28/ABR/2019  19:50;16:50;28/ABR/2019;281950P/ABR/2019;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;COLISÃO;;;NAS PROXIMIDADES DA LAGOA AZUL, ILHA GRANDE, ANGRA DOS REIS, RJ;0;0;0;3813872645;FIBRA;
AVENTUREIRO DO MAR;1;DLANGR;DLANGR;BRASIL;0;9,9;28/ABR/2019  20:25;17:25;28/ABR/2019;282025P/ABR/2019;VELEIRO;CABOTAGEM;ESPORTE E RECREIO;MISTA;AVARIA DE MÁQUINAS;;;NAS PROXIMIDADES DA ILHA FRANCISCA, BAÍA DA ILHA GRANDE, ANGRA DOS REIS-RJ;0;0;0;3810318159;FIBRA;
ROBALITOS II;1;DLANGR;DLANGR;BRASIL;13;12,63;28/ABR/2019  20:17;17:17;28/ABR/2019;282017P/ABR/2019;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;AVARIA DE MÁQUINAS;;;NAS PROXIMIDADES DO SACO DO CÉU, ILHA GRANDE, ANGRA DOS REIS-RJ;0;0;0;3813876811;FIBRA;
DLS;1;DLANGR;DLANGR;BRASIL;0;A SER APURADO;27/ABR/2019  01:45;22:45;27/ABR/2019;270145P/ABR/2019;TRAINEIRA;INTERIOR;ESPORTE E RECREIO;MOTOR;AVARIA DE MÁQUINAS;-22,96666667;-44,40000000;NAS PROXIMIDADES DA ILHA DAS PALMEIRAS, BAIA DA RIBEIRA, ANGRA DOS REIS - RJ, MARCAÇÃO APROXIMADA LAT 22:58'S LONG 44:24'W;0;0;0;382M2019001087;FIBRA;
PENACHO;5;DCPJAI;DCPJAI;BRASIL;A SER APURADO;5,0;05/ABR/2019  21:20;18:20;05/ABR/2019;052120P/ABR/2019;BOTE;INTERIOR;ESPORTE E RECREIO;MOTOR;DERIVA DA EMBARCAÇÃO;;;NAS PROXIMIDADES ILHA FEIA – MUNICÍPIO DE PENHA/SC;0;0;0;442M2013004460;ALUMÍNIO;
ACRE - LIDI MAR;5;DCPJAI;DCPJAI;BRASIL;60;20,0;11/ABR/2019  19:00;16:00;11/ABR/2019;111900P/ABR/2019;LANCHA;CABOTAGEM;PESCA;MOTOR;ABALROAMENTO;;;CANAL DE ACESSO AO PORTO DE ITAJAÍ, NAS PROXIMIDADES DO SACO DA FAZENDA, PRÓXIMO A BOIA DE NÚMERO 12 – ITAJAÍ – SANTA CATARINA;0;0;0;4430091226;MADEIRA;A SER APURADO
TWIN GREEN;8;DLTIAO;DLTIAO;BRASIL;0;4,97;28/ABR/2019  17:00;14:00;28/ABR/2019;281700P/ABR/2019;LANCHA;INTERIOR;ESPORTE E RECREIO;MOTOR;QUEDA DE PESSOAS NA ÁGUA;;;CANAL DE SÃO SEBASTIÃO - SÃO SEBASTIÃO/SP;1;0;0;401M2013018423;FIBRA;
ANDROMEDA III;8;DLTIAO;DLTIAO;BRASIL;28,80;16,70;28/ABR/2019  12:00;9:00;28/ABR/2019;281200P/ABR/2019;LANCHA;CABOTAGEM;ESPORTE E RECREIO;MOTOR;NAUFRÁGIO;;;PRÓXIMO À PRAIA DA PONTA DA AZEDA – ILHABELA / SP;0;0;0;3825412750;FIBRA;
MILTON SANTOS - RIO 2016;8;DLTIAO;DLTIAO;BRASIL;81,429;274,2;28/ABR/2019  16:45;13:45;28/ABR/2019;281645P/ABR/2019;NM PETROLEIRO;LONGO-CURSO;CARGA;MOTOR;RUPTURA DE CABOS;;;BERÇO N:1 DO TERMINAL ALMIRANTE BARROSO – SÃO SEBASTIÃO / SP A CONTRABORDO DO NAVIO PETROLEIRO MILTON SANTOS, EM OPERAÇÃO STS;0;0;0;SOLAS-IMO 3813906701;AÇO;
SALMO XII M;4;CPBLEM;CPBLEM;BRASIL;44;18,20;21/ABR/2019  16:30;13:30;21/ABR/2019;211630P/ABR/2019;BARCO;CABOTAGEM;PESCA;MOTOR;SEM CÓDIGO DE NATUREZA DO ACIDENTE;6,00000000;-40,25000000;Quando encontrava-se navegando na posição estimada LAT 06°00'N LONG 040°15'W, cerca de 530 MN do ponto de terra mais próximo, Acaraú-CE, Carta Náutica n:944/DHN;0;0;0;210994843;MADEIRA;NÃO POSSUI
SEM NOME;8;DLGUAI;DLGUAI;PARAGUAI;NÃO INSCRITA;0,0;03/MAI/2019  20:00;17:00;03/MAI/2019;032000P/MAI/2019;LANCHA;INTERIOR;SEM ATIVIDADE DEFINIDA;MOTOR;COLISÃO;-23,93555556;;"23:56'24.8""S/54:01'25.6""w - RIO PARANÁ - APROXIMADAMENTE 30 METROS DA MARGEM DE TERRA DO PORTO IARA, NO MUNICÍPIO DE ALTÔNIA-PR";1;1;0;NÃO INSCRITA;ALUMÍNIO;NÃO POSSUI
SEM NOME;4;CFAREM;CFAREM;BRASIL;NÃO INSCRITA;9,0;02/ABR/2019  20:00;17:00;02/ABR/2019;022000P/ABR/2019;BARCO;INTERIOR;SEM ATIVIDADE DEFINIDA;MOTOR;NAUFRÁGIO;-6,20305556;-57,71888889;Rio Tapajós, nas proximidades da Boca do Pacu e São Martins, município Jacareacanga-PA, LAT 06:11.713'S e LONG 057:42.685' W;0;0;3;NÃO INSCRITA;MADEIRA;NÃO POSSUI
